Using gpu device 0: GRID K520 (CNMeM is disabled)
/home/ubuntu/anaconda2/lib/python2.7/site-packages/Theano-0.8.0.dev0-py2.7.egg/theano/tensor/signal/downsample.py:5: UserWarning: downsample module has been moved to the pool module.
  warnings.warn("downsample module has been moved to the pool module.")
Couldn't import dot_parser, loading of dot files will not be possible.
left_eye_center_x            7039
left_eye_center_y            7039
right_eye_center_x           7036
right_eye_center_y           7036
left_eye_inner_corner_x      2271
left_eye_inner_corner_y      2271
left_eye_outer_corner_x      2267
left_eye_outer_corner_y      2267
right_eye_inner_corner_x     2268
right_eye_inner_corner_y     2268
right_eye_outer_corner_x     2268
right_eye_outer_corner_y     2268
left_eyebrow_inner_end_x     2270
left_eyebrow_inner_end_y     2270
left_eyebrow_outer_end_x     2225
left_eyebrow_outer_end_y     2225
right_eyebrow_inner_end_x    2270
right_eyebrow_inner_end_y    2270
right_eyebrow_outer_end_x    2236
right_eyebrow_outer_end_y    2236
nose_tip_x                   7049
nose_tip_y                   7049
mouth_left_corner_x          2269
mouth_left_corner_y          2269
mouth_right_corner_x         2270
mouth_right_corner_y         2270
mouth_center_top_lip_x       2275
mouth_center_top_lip_y       2275
mouth_center_bottom_lip_x    7016
mouth_center_bottom_lip_y    7016
Image                        7049
dtype: int64
X.shape == (2140, 9216); X.min == 0.000; X.max == 1.000
y.shape == (2140, 30); y.min == -0.920; y.max == 0.996
... building the model
1) precision=0.0000, Traning cost=0.0143, DE cost: 0.0188
2) precision=0.0000, Traning cost=0.0191, DE cost: 0.0163
3) precision=0.0000, Traning cost=0.0134, DE cost: 0.0147
4) precision=0.0000, Traning cost=0.0167, DE cost: 0.0132
5) precision=0.0000, Traning cost=0.0188, DE cost: 0.0125
6) precision=0.0000, Traning cost=0.0070, DE cost: 0.0117
7) precision=0.0000, Traning cost=0.0134, DE cost: 0.0117
8) precision=0.0000, Traning cost=0.0066, DE cost: 0.0111
9) precision=0.0000, Traning cost=0.0064, DE cost: 0.0113
10) precision=0.0000, Traning cost=0.0145, DE cost: 0.0105
11) precision=0.0000, Traning cost=0.0043, DE cost: 0.0106
12) precision=0.0000, Traning cost=0.0094, DE cost: 0.0103
13) precision=0.0000, Traning cost=0.0034, DE cost: 0.0106
14) precision=0.0000, Traning cost=0.0064, DE cost: 0.0101
15) precision=0.0000, Traning cost=0.0064, DE cost: 0.0097
16) precision=0.0000, Traning cost=0.0054, DE cost: 0.0099
17) precision=0.0000, Traning cost=0.0052, DE cost: 0.0100
18) precision=0.0000, Traning cost=0.0039, DE cost: 0.0098
19) precision=0.0000, Traning cost=0.0046, DE cost: 0.0094
20) precision=0.0000, Traning cost=0.0032, DE cost: 0.0096
21) precision=0.0000, Traning cost=0.0049, DE cost: 0.0098
22) precision=0.0000, Traning cost=0.0054, DE cost: 0.0094
23) precision=0.0000, Traning cost=0.0138, DE cost: 0.0097
24) precision=0.0000, Traning cost=0.0042, DE cost: 0.0093
